"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 10- 24","17.04","16.66","17.13","16.42","79.09M","3.97%"
"2023- 10- 23","16.39","16.35","17.26","15.83","89.59M","-1.50%"
"2023- 10- 20","16.64","17.42","17.79","16.57","83.69M","-4.53%"
"2023- 10- 19","17.43","18.76","18.93","17.23","115.93M","-4.65%"
"2023- 10- 18","18.28","18.37","18.79","17.98","81.41M","-5.28%"
"2023- 10- 17","19.30","18.63","19.76","17.91","90.22M","-2.57%"
"2023- 10- 16","19.81","19.13","20.00","19.10","65.69M","4.37%"
"2023- 10- 13","18.98","20.80","20.89","18.85","89.03M","-8.22%"
"2023- 10- 12","20.68","20.67","21.57","20.09","83.39M","0.83%"
"2023- 10- 11","20.51","20.31","20.68","19.82","62.66M","2.29%"
"2023- 10- 10","20.05","19.56","20.62","19.29","67.62M","3.46%"
"2023- 10- 09","19.38","18.89","19.53","18.45","62.65M","-0.46%"
"2023- 10- 06","19.47","18.02","19.79","17.66","92.81M","5.82%"
"2023- 10- 05","18.40","18.58","18.87","17.82","63.58M","-1.29%"
